PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"514320","Recurrent hypoglycemia associated with glutaric aciduria type II in an adult","Dusheiko G, Kew MC, Joffe BI, Lewin JR, Mantagos S, Tanaka K.","N Engl J Med. 1979 Dec 27;301(26):1405-9. doi: 10.1056/NEJM197912273012601.","Dusheiko G","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012601"
"390396","Germ-cell testicular cancer in adults (second of two parts)","Fraley EE, Lange PH, Kennedy BJ.","N Engl J Med. 1979 Dec 27;301(26):1420-6. doi: 10.1056/NEJM197912273012604.","Fraley EE","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012604"
"316106","Secondary spread of H. influenzae","Wise R, Bhamjee A.","N Engl J Med. 1979 Dec 27;301(26):1449. doi: 10.1056/NEJM197912273012615.","Wise R","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012615"
"229413","Hypoxic sensitizers--implications for radiation therapy","Chapman JD.","N Engl J Med. 1979 Dec 27;301(26):1429-32. doi: 10.1056/NEJM197912273012606.","Chapman JD","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012606"
"117361","Minocycline and ototoxicity","Joy VA.","N Engl J Med. 1979 Dec 27;301(26):1450-1. doi: 10.1056/NEJM197912273012617.","Joy VA","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012617"
"117360","Technology costs and evaluation","Relman AS.","N Engl J Med. 1979 Dec 27;301(26):1444-5. doi: 10.1056/NEJM197912273012610.","Relman AS","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012610"
"117359","Medical technology -- a different view of the contentious debate over costs","Moloney TW, Rogers DE.","N Engl J Med. 1979 Dec 27;301(26):1413-9. doi: 10.1056/NEJM197912273012603.","Moloney TW","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012603"
"503179","Doctor's role not ""pivotal"" in Jonestown","Glaser FB.","N Engl J Med. 1979 Dec 20;301(25):1401. doi: 10.1056/NEJM197912203012522.","Glaser FB","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012522"
"503178","By the London Post","Wardle EN.","N Engl J Med. 1979 Dec 20;301(25):1400-1.","Wardle EN","N Engl J Med","1979","1979/12/20","","",""
"503177","Vitamin C therapy of advanced cancer","Creagan ET, Moertel C.","N Engl J Med. 1979 Dec 20;301(25):1399. doi: 10.1056/nejm197912203012517.","Creagan ET","N Engl J Med","1979","1979/12/20","","","10.1056/nejm197912203012517"
"503176","Wolfram syndrome not HLA linked","Stanley CA, Spielman RS, Zmijewski CM, Baker L.","N Engl J Med. 1979 Dec 20;301(25):1398-9. doi: 10.1056/nejm197912203012515.","Stanley CA","N Engl J Med","1979","1979/12/20","","","10.1056/nejm197912203012515"
"503175","Increased frequency of HLA-DRw3 in systemic lupus erythematosus","Celada A, Barras C, Benzonana G, Jeannet M.","N Engl J Med. 1979 Dec 20;301(25):1398. doi: 10.1056/NEJM197912203012514.","Celada A","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012514"
"503174","Cyclist's palsy","Converse TA.","N Engl J Med. 1979 Dec 20;301(25):1397-8.","Converse TA","N Engl J Med","1979","1979/12/20","","",""
"503173","Risk of lacing potassium","Fleitman J, Robbins S, Fisher AH.","N Engl J Med. 1979 Dec 20;301(25):1397. doi: 10.1056/NEJM197912203012513.","Fleitman J","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012513"
"503172","The abuse of coronary arteriography","Phibbs B.","N Engl J Med. 1979 Dec 20;301(25):1394-6. doi: 10.1056/NEJM197912203012510.","Phibbs B","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012510"
"503171","Regionalization of operations","Longmire WP, Mellinkoff SM.","N Engl J Med. 1979 Dec 20;301(25):1393-4. doi: 10.1056/NEJM197912203012509.","Longmire WP","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012509"
"503170","Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 51-1979","","N Engl J Med. 1979 Dec 20;301(25):1387-92. doi: 10.1056/NEJM197912203012508.","","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012508"
"503169","Vertigo following air travel","Jaffe BF.","N Engl J Med. 1979 Dec 20;301(25):1385-6. doi: 10.1056/NEJM197912203012507.","Jaffe BF","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012507"
"503168","Ticrynafen: a new thiazid-like but uricosuric antihypertensive diuretic","Frohlich ED.","N Engl J Med. 1979 Dec 20;301(25):1378-82. doi: 10.1056/NEJM197912203012505.","Frohlich ED","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012505"
"503167","Should operations be regionalized? The empirical relation between surgical volume and mortality","Luft HS, Bunker JP, Enthoven AC.","N Engl J Med. 1979 Dec 20;301(25):1364-9. doi: 10.1056/NEJM197912203012503.","Luft HS","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012503"
"503166","Immune complexes and the evolution of Lyme arthritis. Dissemination and localization of abnormal C1q binding activity","Hardin JA, Steere AC, Malawista SE.","N Engl J Med. 1979 Dec 20;301(25):1358-63. doi: 10.1056/NEJM197912203012502.","Hardin JA","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012502"
"388224","Early diagnosis of relapse in acute myeloblastic leukemia: Serologic detection of leukemia-associated antigens in human marrow","Baker MA, Falk JA, Carter WH, Taub RN.","N Engl J Med. 1979 Dec 20;301(25):1353-7. doi: 10.1056/NEJM197912203012501.","Baker MA","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012501"
"228195","ACTH-secreting pheochromocytoma","Forman BH.","N Engl J Med. 1979 Dec 20;301(25):1399. doi: 10.1056/NEJM197912203012518.","Forman BH","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012518"
"116127","Increased prolactin response to TRH in mania","Maeda K, Tanimoto K, Yamaguchi N, Iwasaki Y, Chihara K, Fujita T.","N Engl J Med. 1979 Dec 20;301(25):1400. doi: 10.1056/NEJM197912203012520.","Maeda K","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012520"
"91972","Antibodies to nuclear antigens in patients treated with procainamide or acetylprocainamide","Lahita R, Kluger J, Drayer DE, Koffler D, Reidenberg MM.","N Engl J Med. 1979 Dec 20;301(25):1382-5. doi: 10.1056/NEJM197912203012506.","Lahita R","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012506"
"91971","Germ-cell testicular cancer in adults (first of two parts)","Fraley EE, Lange PH, Kennedy BJ.","N Engl J Med. 1979 Dec 20;301(25):1370-7. doi: 10.1056/NEJM197912203012504.","Fraley EE","N Engl J Med","1979","1979/12/20","","","10.1056/NEJM197912203012504"
"503165","Wrist injuries in rollerskating","Ullis K.","N Engl J Med. 1979 Dec 13;301(24):1350.","Ullis K","N Engl J Med","1979","1979/12/13","","",""
"503164","Cost containment through risk sharing by primary-care physicians","Handschin R.","N Engl J Med. 1979 Dec 13;301(24):1350. doi: 10.1056/NEJM197912133012422.","Handschin R","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012422"
"503163","Waiting times and public satisfaction with medical care","Foster JD, Louria DB.","N Engl J Med. 1979 Dec 13;301(24):1349-50. doi: 10.1056/NEJM197912133012420.","Foster JD","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012420"
"503162","Emperipolesis or phagocytosis by Reed-Sternberg cells?","Sherwin RP, Margolick JB.","N Engl J Med. 1979 Dec 13;301(24):1348-9.","Sherwin RP","N Engl J Med","1979","1979/12/13","","",""
"503161","Hopis and Navajos not lean","Chase-the-Bear R, Bonnell M, Morse HG, Rate RG.","N Engl J Med. 1979 Dec 13;301(24):1348. doi: 10.1056/nejm197912133012417.","Chase-the-Bear R","N Engl J Med","1979","1979/12/13","","","10.1056/nejm197912133012417"
"503160","Nonsexual acquisition of genital gonococcal infection","Jewett JF.","N Engl J Med. 1979 Dec 13;301(24):1347.","Jewett JF","N Engl J Med","1979","1979/12/13","","",""
"503159","CASE 28-1978--Justification for aortic valve replacement in the elderly","Allen RD.","N Engl J Med. 1979 Dec 13;301(24):1347. doi: 10.1056/nejm197912133012415.","Allen RD","N Engl J Med","1979","1979/12/13","","","10.1056/nejm197912133012415"
"503158","Relative costs of ticrynafen and thiazides","Singer K.","N Engl J Med. 1979 Dec 13;301(24):1346.","Singer K","N Engl J Med","1979","1979/12/13","","",""
"503157","Relative costs of ticrynafen and thiazides","Sherrard DJ.","N Engl J Med. 1979 Dec 13;301(24):1346.","Sherrard DJ","N Engl J Med","1979","1979/12/13","","",""
"503156","Asymmetric septal hypertrophy with aortic valve disease (case 28-1979)","Thomas SJ, Glassman E, Adams PX, Spencer FC.","N Engl J Med. 1979 Dec 13;301(24):1346. doi: 10.1056/NEJM197912133012414.","Thomas SJ","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012414"
"503155","Fever due to clofibrate","Beckner RR, Canada AT, Ockene IS.","N Engl J Med. 1979 Dec 13;301(24):1345-6.","Beckner RR","N Engl J Med","1979","1979/12/13","","",""
"503154","Percutaneous transluminal coronary angioplasty","Cohen LS.","N Engl J Med. 1979 Dec 13;301(24):1344-5. doi: 10.1056/NEJM197912133012411.","Cohen LS","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012411"
"503153","High science, present and future","Rennie D.","N Engl J Med. 1979 Dec 13;301(24):1343-4. doi: 10.1056/NEJM197912133012410.","Rennie D","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012410"
"503152","Steroids to prevent uremia","Relman AS.","N Engl J Med. 1979 Dec 13;301(24):1340-1. doi: 10.1056/NEJM197912133012408.","Relman AS","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012408"
"503151","Effect of acetazolamide on hypoxemia during sleep at high altitude","Sutton JR, Houston CS, Mansell AL, McFadden MD, Hackett PM, Rigg JR, Powles AC.","N Engl J Med. 1979 Dec 13;301(24):1329-31. doi: 10.1056/NEJM197912133012406.","Sutton JR","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012406"
"388223","Percutaneous transluminal coronary angioplasty","Spodick DH.","N Engl J Med. 1979 Dec 13;301(24):1345. doi: 10.1056/NEJM197912133012412.","Spodick DH","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012412"
"388222","Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 50-1979","","N Engl J Med. 1979 Dec 13;301(24):1332-9. doi: 10.1056/NEJM197912133012407.","","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012407"
"388221","Paying the physician's fee: Blue Shield and the reasonable charge","Delbanco TL, Meyers KC, Segal EA.","N Engl J Med. 1979 Dec 13;301(24):1314-20. doi: 10.1056/NEJM197912133012404.","Delbanco TL","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012404"
"388220","A controlled study of short-term prednisone treatment in adults with membranous nephropathy. Collaborative Study of the Adult Idiopathic Nephrotic Syndrome","","N Engl J Med. 1979 Dec 13;301(24):1301-6. doi: 10.1056/NEJM197912133012401.","","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012401"
"315519","The factor VIII abnormality in severe von Willebrand's disease","Zimmerman TS, Abildgaard CF, Meyer D.","N Engl J Med. 1979 Dec 13;301(24):1307-10. doi: 10.1056/NEJM197912133012402.","Zimmerman TS","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012402"
"228194","Dialytic therapy for irreversible uremia (second of two parts)","Manis T, Friedman EA.","N Engl J Med. 1979 Dec 13;301(24):1321-8. doi: 10.1056/NEJM197912133012405.","Manis T","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012405"
"116126","Nonsexual acquisition of genital gonococcal infection","Rein MF.","N Engl J Med. 1979 Dec 13;301(24):1347. doi: 10.1056/NEJM197912133012416.","Rein MF","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012416"
"91970","Serum levels of beta 2-microglobulin: a new marker of activity in Crohn's disease","Kruis W, Fateh-Mogadam A, Sandel P.","N Engl J Med. 1979 Dec 13;301(24):1348. doi: 10.1056/NEJM197912133012419.","Kruis W","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012419"
"41183","Drug abuse and psychopathology","Pope HG.","N Engl J Med. 1979 Dec 13;301(24):1341-2. doi: 10.1056/NEJM197912133012409.","Pope HG","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012409"
"41182","Development of psychiatric illness in drug abusers. Possible role of drug preference","Mc Lellan AT, Woody GE, O'Brien CP.","N Engl J Med. 1979 Dec 13;301(24):1310-4. doi: 10.1056/NEJM197912133012403.","Mc Lellan AT","N Engl J Med","1979","1979/12/13","","","10.1056/NEJM197912133012403"
"503150","The psychology of responsibility","Shealy CN.","N Engl J Med. 1979 Dec 6;301(23):1294.","Shealy CN","N Engl J Med","1979","1979/12/06","","",""
"503149","The psychology of responsibility","Kaye M.","N Engl J Med. 1979 Dec 6;301(23):1294. doi: 10.1056/NEJM197912063012325.","Kaye M","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012325"
"503148","How to cure Medspeak","Hodgson P.","N Engl J Med. 1979 Dec 6;301(23):1293-4. doi: 10.1056/nejm197912063012324.","Hodgson P","N Engl J Med","1979","1979/12/06","","","10.1056/nejm197912063012324"
"503147","Controls in journal articles","Chalmers TC, Schroeder B.","N Engl J Med. 1979 Dec 6;301(23):1293. doi: 10.1056/NEJM197912063012323.","Chalmers TC","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012323"
"503146","Clinical research in general medical journals","Krantz KD.","N Engl J Med. 1979 Dec 6;301(23):1292-3.","Krantz KD","N Engl J Med","1979","1979/12/06","","",""
"503145","Pancreatic fat","Orci L, Stefan Y, Malaisse-Lagae F, Perrelet A, Patel Y.","N Engl J Med. 1979 Dec 6;301(23):1292. doi: 10.1056/nejm197912063012320.","Orci L","N Engl J Med","1979","1979/12/06","","","10.1056/nejm197912063012320"
"503144","Clinical research in general medical journals","Boen JR.","N Engl J Med. 1979 Dec 6;301(23):1292. doi: 10.1056/NEJM197912063012321.","Boen JR","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012321"
"503143","Genetics of hemochromatosis","Simon M.","N Engl J Med. 1979 Dec 6;301(23):1291-2.","Simon M","N Engl J Med","1979","1979/12/06","","",""
"503142","Genetics of hemochromatosis","Motulsky AG.","N Engl J Med. 1979 Dec 6;301(23):1291. doi: 10.1056/NEJM197912063012319.","Motulsky AG","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012319"
"503141","Sulfinpyrazone does not affect lipoproteins","Orö L, Wåhlander L.","N Engl J Med. 1979 Dec 6;301(23):1290. doi: 10.1056/nejm197912063012317.","Orö L","N Engl J Med","1979","1979/12/06","","","10.1056/nejm197912063012317"
"503140","Infants of diabetic mothers","Kitzmiller JL.","N Engl J Med. 1979 Dec 6;301(23):1290. doi: 10.1056/NEJM197912063012318.","Kitzmiller JL","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012318"
"503139","Anticancer agents in condyloma acuminatum","Doll DC, Wasserman PI.","N Engl J Med. 1979 Dec 6;301(23):1288-9. doi: 10.1056/nejm197912063012314.","Doll DC","N Engl J Med","1979","1979/12/06","","","10.1056/nejm197912063012314"
"503138","Risks of the neurologist's pin","Noseworthy JH, Murray TJ, Lee SH.","N Engl J Med. 1979 Dec 6;301(23):1288. doi: 10.1056/nejm197912063012312.","Noseworthy JH","N Engl J Med","1979","1979/12/06","","","10.1056/nejm197912063012312"
"503137","LE-like disease caused by nalidixic acid","Rubinstein A.","N Engl J Med. 1979 Dec 6;301(23):1288. doi: 10.1056/NEJM197912063012313.","Rubinstein A","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012313"
"503136","The morning-report syndrome and medical search","DeGroot LJ, Siegler M.","N Engl J Med. 1979 Dec 6;301(23):1285-7. doi: 10.1056/NEJM197912063012311.","DeGroot LJ","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012311"
"503135","The other medical-manpower problem","Thier SO, Morgan TE.","N Engl J Med. 1979 Dec 6;301(23):1283-5. doi: 10.1056/NEJM197912063012310.","Thier SO","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012310"
"503134","Is health a state of mind?","Eisenberg L.","N Engl J Med. 1979 Dec 6;301(23):1282-3. doi: 10.1056/NEJM197912063012309.","Eisenberg L","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012309"
"503133","Case records of the Massachusetts General Hospital. Weekly clinicopathological Exercises. Case 49-1979","","N Engl J Med. 1979 Dec 6;301(23):1276-81. doi: 10.1056/NEJM197912063012308.","","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012308"
"503132","Prevalence of renovascular hypertension in patients with grade III or IV hypertensive retinopathy","Davis BA, Crook JE, Vestal RE, Oates JA.","N Engl J Med. 1979 Dec 6;301(23):1273-6. doi: 10.1056/NEJM197912063012307.","Davis BA","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012307"
"503131","Reversible renal failure and nephrotic syndrome associated with nonsteroidal anti-inflammatory drugs","Brezin JH, Katz SM, Schwartz AB, Chinitz JL.","N Engl J Med. 1979 Dec 6;301(23):1271-3. doi: 10.1056/NEJM197912063012306.","Brezin JH","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012306"
"503130","Current concepts: guidelines for the use of thrombolytic agents","Bell WR, Meek AG.","N Engl J Med. 1979 Dec 6;301(23):1266-70. doi: 10.1056/NEJM197912063012305.","Bell WR","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012305"
"503129","Dialytic therapy for irreversible uremia (first of two parts)","Manis T, Friedman EA.","N Engl J Med. 1979 Dec 6;301(23):1260-5. doi: 10.1056/NEJM197912063012304.","Manis T","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012304"
"503128","The clinical investigator as an endangered species","Wyngaarden JB.","N Engl J Med. 1979 Dec 6;301(23):1254-9. doi: 10.1056/NEJM197912063012303.","Wyngaarden JB","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012303"
"503127","Natural history of male psychologic health: effects of mental health on physical health","Vaillant GE.","N Engl J Med. 1979 Dec 6;301(23):1249-54. doi: 10.1056/NEJM197912063012302.","Vaillant GE","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012302"
"388219","Captopril treatment of idiopathic edema","Mimran A, Targhetta R.","N Engl J Med. 1979 Dec 6;301(23):1289-90.","Mimran A","N Engl J Med","1979","1979/12/06","","",""
"388218","Non-Hodgkin's lymphoma after radiotherapy for Hodgkin's disease","D'Agostino RS.","N Engl J Med. 1979 Dec 6;301(23):1289. doi: 10.1056/NEJM197912063012316.","D'Agostino RS","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012316"
"315518","Abnormal lymphocyte capping in a patient with severe combined immunodeficiency disease","Gelfand EW, Oliver JM, Schuurman RK, Matheson DS, Dosch HM.","N Engl J Med. 1979 Dec 6;301(23):1245-9. doi: 10.1056/NEJM197912063012301.","Gelfand EW","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012301"
"41181","The future of clinical research","Levine RJ.","N Engl J Med. 1979 Dec 6;301(23):1295-6. doi: 10.1056/NEJM197912063012326.","Levine RJ","N Engl J Med","1979","1979/12/06","","","10.1056/NEJM197912063012326"
"583063","Notes of a biology-watcher. The mimosa girdler","Thomas L.","N Engl J Med. 1979 Nov 29;301(22):1224-6. doi: 10.1056/NEJM197911293012207.","Thomas L","N Engl J Med","1979","1979/11/29","","","10.1056/NEJM197911293012207"
"503126","Social security increases a mirage?","Glenn ML.","N Engl J Med. 1979 Nov 29;301(22):1242. doi: 10.1056/nejm197911293012220.","Glenn ML","N Engl J Med","1979","1979/11/29","","","10.1056/nejm197911293012220"
"503125","Tamoxifen in malignant melanoma","Nesbit RA, Woods RL, Tattersall MH, Fox RM, Forbes JF, MacKay IR, Goodyear M.","N Engl J Med. 1979 Nov 29;301(22):1241-2. doi: 10.1056/nejm197911293012218.","Nesbit RA","N Engl J Med","1979","1979/11/29","","","10.1056/nejm197911293012218"
"503124","Case 30-1979: Bronchoscopy for hemoptysis","Sherman MM, Gallivan GJ.","N Engl J Med. 1979 Nov 29;301(22):1241.","Sherman MM","N Engl J Med","1979","1979/11/29","","",""
"503123","Case 27-1979: Fungal endocarditis","Brandman J.","N Engl J Med. 1979 Nov 29;301(22):1241. doi: 10.1056/NEJM197911293012217.","Brandman J","N Engl J Med","1979","1979/11/29","","","10.1056/NEJM197911293012217"
"503122","Treatment of hyperuricemia and gout","Warnock DG.","N Engl J Med. 1979 Nov 29;301(22):1240.","Warnock DG","N Engl J Med","1979","1979/11/29","","",""
"503121","Treatment of hyperuricemia and gout","Talbott JH.","N Engl J Med. 1979 Nov 29;301(22):1240. doi: 10.1056/NEJM197911293012215.","Talbott JH","N Engl J Med","1979","1979/11/29","","","10.1056/NEJM197911293012215"
"503120","Alcoholic myopathy","Rubenstein AE.","N Engl J Med. 1979 Nov 29;301(22):1239.","Rubenstein AE","N Engl J Med","1979","1979/11/29","","",""
"503119","Diagnostic use of exercise stress testing","Epstein SE.","N Engl J Med. 1979 Nov 29;301(22):1238-9.","Epstein SE","N Engl J Med","1979","1979/11/29","","",""
"503118","Diagnostic use of exercise stress testing","Davidson DM.","N Engl J Med. 1979 Nov 29;301(22):1237-8.","Davidson DM","N Engl J Med","1979","1979/11/29","","",""
"503117","Diagnostic use of exercise stress testing","Worthington JW.","N Engl J Med. 1979 Nov 29;301(22):1237. doi: 10.1056/NEJM197911293012213.","Worthington JW","N Engl J Med","1979","1979/11/29","","","10.1056/NEJM197911293012213"
"503116","Cancer of the rectum","Luckey RC.","N Engl J Med. 1979 Nov 29;301(22):1236-7. doi: 10.1056/NEJM197911293012212.","Luckey RC","N Engl J Med","1979","1979/11/29","","","10.1056/NEJM197911293012212"
"503115","Coitus and the fetus","Herbst AL.","N Engl J Med. 1979 Nov 29;301(22):1235-6. doi: 10.1056/NEJM197911293012211.","Herbst AL","N Engl J Med","1979","1979/11/29","","","10.1056/NEJM197911293012211"
"503114","Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 48-1979","","N Engl J Med. 1979 Nov 29;301(22):1228-33. doi: 10.1056/NEJM197911293012209.","","N Engl J Med","1979","1979/11/29","","","10.1056/NEJM197911293012209"
"503113","Increased insulin sensitivity and insulin binding to monocytes after physical training","Soman VR, Koivisto VA, Deibert D, Felig P, DeFronzo RA.","N Engl J Med. 1979 Nov 29;301(22):1200-4. doi: 10.1056/NEJM197911293012203.","Soman VR","N Engl J Med","1979","1979/11/29","","","10.1056/NEJM197911293012203"
"503112","Coitus and associated amniotic-fluid infections","Naeye RL.","N Engl J Med. 1979 Nov 29;301(22):1198-200. doi: 10.1056/NEJM197911293012202.","Naeye RL","N Engl J Med","1979","1979/11/29","","","10.1056/NEJM197911293012202"
"503111","Rebound hemodynamic events after the abrupt withdrawal of nitroprusside in patients with severe chronic heart failure","Packer M, Meller J, Medina N, Gorlin R, Herman MV.","N Engl J Med. 1979 Nov 29;301(22):1193-7. doi: 10.1056/NEJM197911293012201.","Packer M","N Engl J Med","1979","1979/11/29","","","10.1056/NEJM197911293012201"
"388217","Hodgkin's disease","Desforges JF, Rutherford CJ, Piro A.","N Engl J Med. 1979 Nov 29;301(22):1212-22. doi: 10.1056/NEJM197911293012205.","Desforges JF","N Engl J Med","1979","1979/11/29","","","10.1056/NEJM197911293012205"
"388216","Child abuse in the International Year of the Child","Taylor L, Newberger EH.","N Engl J Med. 1979 Nov 29;301(22):1205-12. doi: 10.1056/NEJM197911293012204.","Taylor L","N Engl J Med","1979","1979/11/29","","","10.1056/NEJM197911293012204"
"228193","Alcoholic myopathy","Laureno R.","N Engl J Med. 1979 Nov 29;301(22):1239. doi: 10.1056/NEJM197911293012214.","Laureno R","N Engl J Med","1979","1979/11/29","","","10.1056/NEJM197911293012214"
