PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"1820772","Goya's living skeleton","Park RH, Park MP.","BMJ. 1991 Dec 21-28;303(6817):1594-6. doi: 10.1136/bmj.303.6817.1594.","Park RH","BMJ","1991","1991/12/21","PMC1676240","","10.1136/bmj.303.6817.1594"
"1782507","Randomized clinical trials in clinical practice","Peto V, Coulter A.","BMJ. 1991 Dec 14;303(6816):1549-50. doi: 10.1136/bmj.303.6816.1549-c.","Peto V","BMJ","1991","1991/12/14","PMC1671798","","10.1136/bmj.303.6816.1549-c"
"1782506","Orthopaedic surgeons and thromboprophylaxis","Poller L, Taberner DA.","BMJ. 1991 Dec 14;303(6816):1549. doi: 10.1136/bmj.303.6816.1549.","Poller L","BMJ","1991","1991/12/14","PMC1671829","","10.1136/bmj.303.6816.1549"
"1782505","Peak bone mass and bone loss in postmenopausal osteoporosis","","BMJ. 1991 Dec 14;303(6816):1548-9. doi: 10.1136/bmj.303.6816.1548-a.","","BMJ","1991","1991/12/14","PMC1671839","","10.1136/bmj.303.6816.1548-a"
"1782504","Oral iron chelation is here","O'Connor NT.","BMJ. 1991 Dec 14;303(6816):1545-6. doi: 10.1136/bmj.303.6816.1545-c.","O'Connor NT","BMJ","1991","1991/12/14","PMC1671821","","10.1136/bmj.303.6816.1545-c"
"1782503","Caring for larger lists","","BMJ. 1991 Dec 14;303(6816):1545.","","BMJ","1991","1991/12/14","PMC1671842","",""
"1782502","ABC of vascular diseases. Epidemiology of atherosclerosis","Rose G.","BMJ. 1991 Dec 14;303(6816):1537-9. doi: 10.1136/bmj.303.6816.1537.","Rose G","BMJ","1991","1991/12/14","PMC1671795","","10.1136/bmj.303.6816.1537"
"1782501","Medical manpower","Brearley S.","BMJ. 1991 Dec 14;303(6816):1534-6. doi: 10.1136/bmj.303.6816.1534.","Brearley S","BMJ","1991","1991/12/14","PMC1671827","","10.1136/bmj.303.6816.1534"
"1782500","James Scott: next professor of medicine at the Hammersmith. Interview by Richard Smith","Scott J.","BMJ. 1991 Dec 14;303(6816):1531-4. doi: 10.1136/bmj.303.6816.1531.","Scott J","BMJ","1991","1991/12/14","PMC1671826","","10.1136/bmj.303.6816.1531"
"1782499","Needs assessment, priority setting, and contracts for health care: an economic view","Donaldson C, Mooney G.","BMJ. 1991 Dec 14;303(6816):1529-30. doi: 10.1136/bmj.303.6816.1529.","Donaldson C","BMJ","1991","1991/12/14","PMC1671822","","10.1136/bmj.303.6816.1529"
"1782498","Identifying ""high risk situations"" for preventing AIDS","Zwi AB, Cabral AJ.","BMJ. 1991 Dec 14;303(6816):1527-9. doi: 10.1136/bmj.303.6816.1527.","Zwi AB","BMJ","1991","1991/12/14","PMC1671816","","10.1136/bmj.303.6816.1527"
"1782497","Interim guidelines on confidentiality and medical audit. Conference of Medical Royal Colleges and their Faculties in the United Kingdom","","BMJ. 1991 Dec 14;303(6816):1525. doi: 10.1136/bmj.303.6816.1525.","","BMJ","1991","1991/12/14","PMC1671809","","10.1136/bmj.303.6816.1525"
"1782496","Audit activities in Australia","Collopy BT.","BMJ. 1991 Dec 14;303(6816):1523-5. doi: 10.1136/bmj.303.6816.1523.","Collopy BT","BMJ","1991","1991/12/14","PMC1671800","","10.1136/bmj.303.6816.1523"
"1782495","A form to help learn and teach about assessing medical audit papers","Bhopal RS, Thomson R.","BMJ. 1991 Dec 14;303(6816):1520-2. doi: 10.1136/bmj.303.6816.1520.","Bhopal RS","BMJ","1991","1991/12/14","PMC1671799","","10.1136/bmj.303.6816.1520"
"1782494","Outcome of planned home births in an inner city practice","Ford C, Iliffe S, Franklin O.","BMJ. 1991 Dec 14;303(6816):1517-9. doi: 10.1136/bmj.303.6816.1517.","Ford C","BMJ","1991","1991/12/14","PMC1671830","","10.1136/bmj.303.6816.1517"
"1782493","What happens to patients with non-vascular leg pain?","Varty K, van Dorpe J, St Johnston JA, Campbell WB.","BMJ. 1991 Dec 14;303(6816):1516. doi: 10.1136/bmj.303.6816.1516.","Varty K","BMJ","1991","1991/12/14","PMC1671860","","10.1136/bmj.303.6816.1516"
"1782492","Transmission of Plasmodium falciparum by heart transplant","Babinet J, Gay F, Bustos D, Dubarry M, Jaulmes D, Nguyen L, Gentilini M.","BMJ. 1991 Dec 14;303(6816):1515-6. doi: 10.1136/bmj.303.6816.1515.","Babinet J","BMJ","1991","1991/12/14","PMC1671824","","10.1136/bmj.303.6816.1515"
"1782491","Social and functional impact of minor fractures in elderly people","Nankhonya JM, Turnbull CJ, Newton JT.","BMJ. 1991 Dec 14;303(6816):1514-5. doi: 10.1136/bmj.303.6816.1514-a.","Nankhonya JM","BMJ","1991","1991/12/14","PMC1671833","","10.1136/bmj.303.6816.1514-a"
"1782490","Dogs that bite","Shewell PC, Nancarrow JD.","BMJ. 1991 Dec 14;303(6816):1512-3. doi: 10.1136/bmj.303.6816.1512.","Shewell PC","BMJ","1991","1991/12/14","PMC1671853","","10.1136/bmj.303.6816.1512"
"1782489","Parathyroid hormone related protein and hypercalcaemia in breast cancer","Bundred NJ, Ratcliffe WA, Walker RA, Coley S, Morrison JM, Ratcliffe JG.","BMJ. 1991 Dec 14;303(6816):1506-9. doi: 10.1136/bmj.303.6816.1506.","Bundred NJ","BMJ","1991","1991/12/14","PMC1671803","","10.1136/bmj.303.6816.1506"
"1782488","Survey of ""do not resuscitate"" orders in a district general hospital","Aarons EJ, Beeching NJ.","BMJ. 1991 Dec 14;303(6816):1504-6. doi: 10.1136/bmj.303.6816.1504.","Aarons EJ","BMJ","1991","1991/12/14","PMC1671794","","10.1136/bmj.303.6816.1504"
"1782487","Injuries from land mines","McGrath R, Stover E.","BMJ. 1991 Dec 14;303(6816):1492. doi: 10.1136/bmj.303.6816.1492.","McGrath R","BMJ","1991","1991/12/14","PMC1671808","","10.1136/bmj.303.6816.1492"
"1782486","Choice and chance in low risk maternity care","Campbell R, Macfarlane A, Cavenagh S.","BMJ. 1991 Dec 14;303(6816):1487-8. doi: 10.1136/bmj.303.6816.1487.","Campbell R","BMJ","1991","1991/12/14","PMC1671797","","10.1136/bmj.303.6816.1487"
"1723637","Air pollution: II--Road traffic and modern industry","Godlee F.","BMJ. 1991 Dec 14;303(6816):1539-43. doi: 10.1136/bmj.303.6816.1539.","Godlee F","BMJ","1991","1991/12/14","PMC1671805","","10.1136/bmj.303.6816.1539"
"1723636","Hormonal manipulation of prostatic cancer","Schröder FH.","BMJ. 1991 Dec 14;303(6816):1489-90. doi: 10.1136/bmj.303.6816.1489.","Schröder FH","BMJ","1991","1991/12/14","PMC1671807","","10.1136/bmj.303.6816.1489"
"1685930","Tired all the time","Ridsdale L.","BMJ. 1991 Dec 14;303(6816):1490-1. doi: 10.1136/bmj.303.6816.1490.","Ridsdale L","BMJ","1991","1991/12/14","PMC1671843","","10.1136/bmj.303.6816.1490"
"1664268","Sumatriptan in migraine","Pearce JM.","BMJ. 1991 Dec 14;303(6816):1491. doi: 10.1136/bmj.303.6816.1491.","Pearce JM","BMJ","1991","1991/12/14","PMC1671814","","10.1136/bmj.303.6816.1491"
"11642950","Euthanasia: new issue for conscience","Warden J.","BMJ. 1991 Dec 7;303(6815):1422.","Warden J","BMJ","1991","1991/12/07","","",""
"11642949","Organ donation after execution in Taiwan","Parry J.","BMJ. 1991 Dec 7;303(6815):1420.","Parry J","BMJ","1991","1991/12/07","","",""
"1837746","Injuries to common bile duct during laparoscopic cholecystectomy","Smith R.","BMJ. 1991 Dec 7;303(6815):1475. doi: 10.1136/bmj.303.6815.1475.","Smith R","BMJ","1991","1991/12/07","PMC1671684","","10.1136/bmj.303.6815.1475"
"1837745","Bile duct stones and laparoscopic cholecystectomy","","BMJ. 1991 Dec 7;303(6815):1475. doi: 10.1136/bmj.303.6815.1475-a.","","BMJ","1991","1991/12/07","PMC1671650","","10.1136/bmj.303.6815.1475-a"
"1837744","Bronchodilator treatment in moderate asthma or chronic bronchitis: continuous or on demand? A randomised controlled study","van Schayck CP, Dompeling E, van Herwaarden CL, Folgering H, Verbeek AL, van der Hoogen HJ, van Weel C.","BMJ. 1991 Dec 7;303(6815):1426-31. doi: 10.1136/bmj.303.6815.1426.","van Schayck CP","BMJ","1991","1991/12/07","PMC1671690","","10.1136/bmj.303.6815.1426"
"1837743","Does dexamethasone enhance control of acute cisplatin induced emesis by ondansetron?","Smyth JF, Coleman RE, Nicolson M, Gallmeier WM, Leonard RC, Cornbleet MA, Allan SG, Upadhyaya BK, Bruntsch U.","BMJ. 1991 Dec 7;303(6815):1423-6. doi: 10.1136/bmj.303.6815.1423.","Smyth JF","BMJ","1991","1991/12/07","PMC1671686","","10.1136/bmj.303.6815.1423"
"1822980","Performance of skin biopsies by general practitioners","","BMJ. 1991 Dec 7;303(6815):1472-4. doi: 10.1136/bmj.303.6815.1472.","","BMJ","1991","1991/12/07","PMC1671704","","10.1136/bmj.303.6815.1472"
"1819260","Cost effectiveness of magnetic resonance imaging in the neurosciences","Szczepura AK, Fletcher J, Fitz-Patrick JD.","BMJ. 1991 Dec 7;303(6815):1435-9. doi: 10.1136/bmj.303.6815.1435.","Szczepura AK","BMJ","1991","1991/12/07","PMC1671680","","10.1136/bmj.303.6815.1435"
"1812878","Health of the nation","","BMJ. 1991 Dec 7;303(6815):1478-9.","","BMJ","1991","1991/12/07","PMC1671679","",""
"1773169","The ""Q"" in QALYs","Carr-Hill R, Morris J.","BMJ. 1991 Dec 7;303(6815):1480. doi: 10.1136/bmj.303.6815.1480.","Carr-Hill R","BMJ","1991","1991/12/07","PMC1671683","","10.1136/bmj.303.6815.1480"
"1773168","Off the rails","Freeman AG.","BMJ. 1991 Dec 7;303(6815):1480. doi: 10.1136/bmj.303.6815.1480-a.","Freeman AG","BMJ","1991","1991/12/07","PMC1671648","","10.1136/bmj.303.6815.1480-a"
"1773167","Camelford revisited","Lawson R.","BMJ. 1991 Dec 7;303(6815):1480. doi: 10.1136/bmj.303.6815.1480-b.","Lawson R","BMJ","1991","1991/12/07","PMC1671687","","10.1136/bmj.303.6815.1480-b"
"1773166","Strategy for asthma","Bauman A, Leeder SR, Young L.","BMJ. 1991 Dec 7;303(6815):1479-80. doi: 10.1136/bmj.303.6815.1479-c.","Bauman A","BMJ","1991","1991/12/07","PMC1671666","","10.1136/bmj.303.6815.1479-c"
"1773165","Counselling patients before an HIV test","Bor R, Miller R, Johnson M.","BMJ. 1991 Dec 7;303(6815):1478. doi: 10.1136/bmj.303.6815.1478.","Bor R","BMJ","1991","1991/12/07","PMC1671711","","10.1136/bmj.303.6815.1478"
"1773164","How to pay for expensive drugs","","BMJ. 1991 Dec 7;303(6815):1476-8.","","BMJ","1991","1991/12/07","PMC1671714","",""
"1773163","Postoperative feeding","","BMJ. 1991 Dec 7;303(6815):1476.","","BMJ","1991","1991/12/07","PMC1671707","",""
"1773162","Laparotomy in the acute abdomen","McCombe AW, Gunn AA.","BMJ. 1991 Dec 7;303(6815):1476. doi: 10.1136/bmj.303.6815.1476.","McCombe AW","BMJ","1991","1991/12/07","PMC1671665","","10.1136/bmj.303.6815.1476"
"1773161","Fetal and infant growth and impaired glucose tolerance","","BMJ. 1991 Dec 7;303(6815):1474-5. doi: 10.1136/bmj.303.6815.1474.","","BMJ","1991","1991/12/07","PMC1671699","","10.1136/bmj.303.6815.1474"
"1773160","Science and medicine down under","Delamothe T, Smith R.","BMJ. 1991 Dec 7;303(6815):1468-70. doi: 10.1136/bmj.303.6815.1468.","Delamothe T","BMJ","1991","1991/12/07","PMC1671715","","10.1136/bmj.303.6815.1468"
"1773159","Adipsic hypothalamic diabetes insipidus after clipping of anterior communicating artery aneurysm","McIver B, Connacher A, Whittle I, Baylis P, Thompson C.","BMJ. 1991 Dec 7;303(6815):1465-7. doi: 10.1136/bmj.303.6815.1465.","McIver B","BMJ","1991","1991/12/07","PMC1671669","","10.1136/bmj.303.6815.1465"
"1773158","ABC of vascular diseases. The swollen leg","Reilly DT, Wolfe JH.","BMJ. 1991 Dec 7;303(6815):1462-5. doi: 10.1136/bmj.303.6815.1462.","Reilly DT","BMJ","1991","1991/12/07","PMC1671664","","10.1136/bmj.303.6815.1462"
"1773157","Air pollution: I--From pea souper to photochemical smog","Godlee F.","BMJ. 1991 Dec 7;303(6815):1459-61. doi: 10.1136/bmj.303.6815.1459.","Godlee F","BMJ","1991","1991/12/07","PMC1671695","","10.1136/bmj.303.6815.1459"
"1773156","European health care systems","Smith T.","BMJ. 1991 Dec 7;303(6815):1457-9. doi: 10.1136/bmj.303.6815.1457.","Smith T","BMJ","1991","1991/12/07","PMC1671691","","10.1136/bmj.303.6815.1457"
"1773155","Urinary incontinence in women: have we anything new to offer?","Cardozo L.","BMJ. 1991 Dec 7;303(6815):1453-7. doi: 10.1136/bmj.303.6815.1453.","Cardozo L","BMJ","1991","1991/12/07","PMC1671649","","10.1136/bmj.303.6815.1453"
"1773154","Co-amoxiclav in recurrent acute otitis media: placebo controlled study","Appelman CL, Claessen JQ, Touw-Otten FW, Hordijk GJ, de Melker RA.","BMJ. 1991 Dec 7;303(6815):1450-2. doi: 10.1136/bmj.303.6815.1450.","Appelman CL","BMJ","1991","1991/12/07","PMC1671677","","10.1136/bmj.303.6815.1450"
"1773153","GP trainees' views on hospital obstetric vocational training","Smith LF.","BMJ. 1991 Dec 7;303(6815):1447-50. doi: 10.1136/bmj.303.6815.1447.","Smith LF","BMJ","1991","1991/12/07","PMC1671701","","10.1136/bmj.303.6815.1447"
"1773152","Effect of high dose steroid bolus on occlusion of ocular central artery: angiographic study","Hausmann N, Richard G.","BMJ. 1991 Dec 7;303(6815):1445-6. doi: 10.1136/bmj.303.6815.1445.","Hausmann N","BMJ","1991","1991/12/07","PMC1671661","","10.1136/bmj.303.6815.1445"
"1773151","Health risks associated with bathing in sea water","Balarajan R, Soni Raleigh V, Yuen P, Wheeler D, Machin D, Cartwright R.","BMJ. 1991 Dec 7;303(6815):1444-5. doi: 10.1136/bmj.303.6815.1444.","Balarajan R","BMJ","1991","1991/12/07","PMC1671698","","10.1136/bmj.303.6815.1444"
"1773150","Roles of midwives and general practitioners in hospital intrapartum care, England and Wales, 1988","Smith LF, Jewell D.","BMJ. 1991 Dec 7;303(6815):1443-4. doi: 10.1136/bmj.303.6815.1443.","Smith LF","BMJ","1991","1991/12/07","PMC1671655","","10.1136/bmj.303.6815.1443"
"1773149","Training and supervision of obstetric senior house officers","Ennis M.","BMJ. 1991 Dec 7;303(6815):1442-3. doi: 10.1136/bmj.303.6815.1442.","Ennis M","BMJ","1991","1991/12/07","PMC1671692","","10.1136/bmj.303.6815.1442"
"1773148","Intensified conventional insulin treatment and neuropsychological impairment","Reichard P, Britz A, Rosenqvist U.","BMJ. 1991 Dec 7;303(6815):1439-42. doi: 10.1136/bmj.303.6815.1439.","Reichard P","BMJ","1991","1991/12/07","PMC1671647","","10.1136/bmj.303.6815.1439"
"1773147","Elective total hip replacement: incidence, emergency readmission rate, and postoperative mortality","Seagroatt V, Tan HS, Goldacre M, Bulstrode C, Nugent I, Gill L.","BMJ. 1991 Dec 7;303(6815):1431-5. doi: 10.1136/bmj.303.6815.1431.","Seagroatt V","BMJ","1991","1991/12/07","PMC1671663","","10.1136/bmj.303.6815.1431"
"1773146","Aids education in schools","White C.","BMJ. 1991 Dec 7;303(6815):1421. doi: 10.1136/bmj.303.6815.1421.","White C","BMJ","1991","1991/12/07","PMC1671682","","10.1136/bmj.303.6815.1421"
"1773145","French payout for HIV victims","O'Neill P.","BMJ. 1991 Dec 7;303(6815):1417-8. doi: 10.1136/bmj.303.6815.1417.","O'Neill P","BMJ","1991","1991/12/07","PMC1671671","","10.1136/bmj.303.6815.1417"
"1773144","Training in obstetrics","Blunt SM.","BMJ. 1991 Dec 7;303(6815):1416. doi: 10.1136/bmj.303.6815.1416.","Blunt SM","BMJ","1991","1991/12/07","PMC1671706","","10.1136/bmj.303.6815.1416"
"1773143","Doctors in the making","Hunter S.","BMJ. 1991 Dec 7;303(6815):1415-6. doi: 10.1136/bmj.303.6815.1415.","Hunter S","BMJ","1991","1991/12/07","PMC1671708","","10.1136/bmj.303.6815.1415"
"1773142","Understanding Marfan's syndrome","Young I.","BMJ. 1991 Dec 7;303(6815):1414-5. doi: 10.1136/bmj.303.6815.1414.","Young I","BMJ","1991","1991/12/07","PMC1671667","","10.1136/bmj.303.6815.1414"
