PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"11682720","Doctor assisted suicide needs to be discussed","","BMJ. 1998 Jul 18;317(7152):214.","","BMJ","1998","2001/10/30","","",""
"9890760","HIV vaccine partnerships offer hope to the developing world","Matthews H.","BMJ. 1998 Dec 5;317(7172):1543. doi: 10.1136/bmj.317.7172.1543.","Matthews H","BMJ","1998","1999/01/16","","","10.1136/bmj.317.7172.1543"
"9882112","Evidence based case reports. Evidence based medicine is not magic","Zuccalá G, Pedone C, Carbonin P.","BMJ. 1998 Nov 14;317(7169):1387-8.","Zuccalá G","BMJ","1998","1999/01/09","","",""
"9882111","Evidence based case reports. Results of search strategy should be given for readers","Bates D.","BMJ. 1998 Nov 14;317(7169):1387.","Bates D","BMJ","1998","1999/01/09","","",""
"9882107","Commentary: Bevan's covenant continues intact","Hurwitz B.","BMJ. 1998 Nov 14;317(7169):1365.","Hurwitz B","BMJ","1998","1999/01/09","","",""
"9867382","Food plan needed to reduce deaths from heart disease in Britain","Bryan J.","BMJ. 1998 Nov 7;317(7168):1274. doi: 10.1136/bmj.317.7168.1274.","Bryan J","BMJ","1998","1998/12/29","PMC1174698","","10.1136/bmj.317.7168.1274"
"9867381","Beef was not ""perfectly safe""","Warden J.","BMJ. 1998 Nov 7;317(7168):1273. doi: 10.1136/bmj.317.7168.1273a.","Warden J","BMJ","1998","1998/12/29","","","10.1136/bmj.317.7168.1273a"
"9867378","Attention deficit hyperactivity disorder in children. Multidisciplinary approach to management is needed","Weaver A.","BMJ. 1998 Oct 31;317(7167):1251-2.","Weaver A","BMJ","1998","1998/12/29","","",""
"9867377","Attention deficit hyperactivity disorder in children. Danger is one of overdiagnosis","Thambirajah MS.","BMJ. 1998 Oct 31;317(7167):1251.","Thambirajah MS","BMJ","1998","1998/12/29","","",""
"9867376","Attention deficit hyperactivity disorder in children. Benefits of adding other forms of treatment to medication remain unclear","Klassen A, Raina P, Miller A, Lee S.","BMJ. 1998 Oct 31;317(7167):1251.","Klassen A","BMJ","1998","1998/12/29","","",""
"9857171","Socioeconomic status affects the health of pets","","BMJ. 1998 Dec 26;317(7174):G.","","BMJ","1998","1998/12/19","PMC1114474","",""
"9857170","Grandmothers prevent unnecessary hospital attendance","","BMJ. 1998 Dec 26;317(7174):F.","","BMJ","1998","1998/12/19","PMC1114473","",""
"9857169","Sweets in moderation may be good for you","","BMJ. 1998 Dec 26;317(7174):E.","","BMJ","1998","1998/12/19","PMC1114472","",""
"9857168","Superstition increases japanese health costs","","BMJ. 1998 Dec 26;317(7174):D.","","BMJ","1998","1998/12/19","PMC1114471","",""
"9857167","A cinnamon sedge is better than a black gnat","","BMJ. 1998 Dec 26;317(7174):C.","","BMJ","1998","1998/12/19","PMC1114470","",""
"9857166","It's all right to get up late","","BMJ. 1998 Dec 26;317(7174):B.","","BMJ","1998","1998/12/19","PMC1114469","",""
"9857165","Boom ditty boom ditty boom ditty boom (goodness gracious me)","Sandler DA.","BMJ. 1998 Dec 26;317(7174):1742. doi: 10.1136/bmj.317.7174.1742.","Sandler DA","BMJ","1998","1998/12/19","PMC1114520","","10.1136/bmj.317.7174.1742"
"9857164","From the other side","Signore F.","BMJ. 1998 Dec 26;317(7174):1741. doi: 10.1136/bmj.317.7174.1741.","Signore F","BMJ","1998","1998/12/19","PMC1114519","","10.1136/bmj.317.7174.1741"
"9857163","My cancer and the magic bullet","Richmond C.","BMJ. 1998 Dec 26;317(7174):1739A. doi: 10.1136/bmj.317.7174.1739a.","Richmond C","BMJ","1998","1998/12/19","PMC1114518","","10.1136/bmj.317.7174.1739a"
"9857162","Will you present the prizes?","Craft A.","BMJ. 1998 Dec 26;317(7174):1739. doi: 10.1136/bmj.317.7174.1739.","Craft A","BMJ","1998","1998/12/19","PMC1114517","","10.1136/bmj.317.7174.1739"
"9857161","The new victorians: community care in the 1990s","Chaloner J.","BMJ. 1998 Dec 26;317(7174):1738. doi: 10.1136/bmj.317.7174.1738.","Chaloner J","BMJ","1998","1998/12/19","PMC1114516","","10.1136/bmj.317.7174.1738"
"9857160","Coming to terms with death","Roddie I I.","BMJ. 1998 Dec 26;317(7174):1737. doi: 10.1136/bmj.317.7174.1737.","Roddie I I","BMJ","1998","1998/12/19","PMC1114515","","10.1136/bmj.317.7174.1737"
"9857159","Nan West's murals in the royal national orthopaedic hospital","Schott GD.","BMJ. 1998 Dec 26;317(7174):1736. doi: 10.1136/bmj.317.7174.1736.","Schott GD","BMJ","1998","1998/12/19","PMC1114514","","10.1136/bmj.317.7174.1736"
"9857158","Shall I compare thee to a","","BMJ. 1998 Dec 26;317(7174):1733.","","BMJ","1998","1998/12/19","PMC1114513","",""
"9857157","A christmas carol","Davies S.","BMJ. 1998 Dec 26;317(7174):1732. doi: 10.1136/bmj.317.7174.1732.","Davies S","BMJ","1998","1998/12/19","PMC1114512","","10.1136/bmj.317.7174.1732"
"9857156","What's in a name?","White T, Oliver CW.","BMJ. 1998 Dec 26;317(7174):1731C. doi: 10.1136/bmj.317.7174.1731c.","White T","BMJ","1998","1998/12/19","PMC1114510","","10.1136/bmj.317.7174.1731c"
"9857155","The ship","","BMJ. 1998 Dec 26;317(7174):1731B.","","BMJ","1998","1998/12/19","PMC1114509","",""
"9857154","The prayer of the oppressed","","BMJ. 1998 Dec 26;317(7174):1731A.","","BMJ","1998","1998/12/19","","",""
"9857153","The accelerating pace of change","Willis J.","BMJ. 1998 Dec 19-26;317(7174):1731-2. doi: 10.1136/bmj.317.7174.1731.","Willis J","BMJ","1998","1998/12/19","PMC1114508","","10.1136/bmj.317.7174.1731"
"9857152","Doctors' autonomy","Orchard D.","BMJ. 1998 Dec 19-26;317(7174):1730-1. doi: 10.1136/bmj.317.7174.1730.","Orchard D","BMJ","1998","1998/12/19","PMC1114507","","10.1136/bmj.317.7174.1730"
"9857151","Medical omniscience","Pickering WG.","BMJ. 1998 Dec 19-26;317(7174):1729-30. doi: 10.1136/bmj.317.7174.1729.","Pickering WG","BMJ","1998","1998/12/19","PMC1114506","","10.1136/bmj.317.7174.1729"
"9857150","The promise of the neurosciences","Daniels AM.","BMJ. 1998 Dec 19-26;317(7174):1728. doi: 10.1136/bmj.317.7174.1728.","Daniels AM","BMJ","1998","1998/12/19","PMC1114505","","10.1136/bmj.317.7174.1728"
"9857149","Clinical governance","Goodman NW.","BMJ. 1998 Dec 19-26;317(7174):1725-7. doi: 10.1136/bmj.317.7174.1725.","Goodman NW","BMJ","1998","1998/12/19","PMC1114504","","10.1136/bmj.317.7174.1725"
"9857148","The primacy of primary health care","Hampton JR.","BMJ. 1998 Dec 19-26;317(7174):1724-5. doi: 10.1136/bmj.317.7174.1724.","Hampton JR","BMJ","1998","1998/12/19","PMC1114503","","10.1136/bmj.317.7174.1724"
"9857147","A seamless service","Heath I.","BMJ. 1998 Dec 19-26;317(7174):1723-4. doi: 10.1136/bmj.317.7174.1723.","Heath I","BMJ","1998","1998/12/19","PMC1114502","","10.1136/bmj.317.7174.1723"
"9857146","Double bandaging of sprained ankles","Wilson S, Cooke M.","BMJ. 1998 Dec 19-26;317(7174):1722-3. doi: 10.1136/bmj.317.7174.1722.","Wilson S","BMJ","1998","1998/12/19","PMC1114501","","10.1136/bmj.317.7174.1722"
"9857145","The need for political correctness in scientific writing","Le Fanu J.","BMJ. 1998 Dec 26;317(7174):1721-2. doi: 10.1136/bmj.317.7174.1721.","Le Fanu J","BMJ","1998","1998/12/19","PMC1114500","","10.1136/bmj.317.7174.1721"
"9857144","Down with EBM!","Molesworth N.","BMJ. 1998 Dec 26;317(7174):1720A-1721. doi: 10.1136/bmj.317.7174.1720a.","Molesworth N","BMJ","1998","1998/12/19","PMC1114499","","10.1136/bmj.317.7174.1720a"
"9857143","To the abattoir!","","BMJ. 1998 Dec 26;317(7174):1720.","","BMJ","1998","1998/12/19","PMC1114498","",""
"9857142","Lessons from Whitehall","Calman K.","BMJ. 1998 Dec 19-26;317(7174):1718-20. doi: 10.1136/bmj.317.7174.1718.","Calman K","BMJ","1998","1998/12/19","PMC1114497","","10.1136/bmj.317.7174.1718"
"9857141","Get your book published","Banks M.","BMJ. 1998 Dec 19-26;317(7174):1715-8. doi: 10.1136/bmj.317.7174.1715.","Banks M","BMJ","1998","1998/12/19","PMC1114496","","10.1136/bmj.317.7174.1715"
"9857140","Alastair MacIntosh MacLachlainn (1892-1959): an unusual career","Johnson JC.","BMJ. 1998 Dec 19-26;317(7174):1714-5. doi: 10.1136/bmj.317.7174.1714.","Johnson JC","BMJ","1998","1998/12/19","PMC1114495","","10.1136/bmj.317.7174.1714"
"9857139","De futuro urbanorum","Williams RE.","BMJ. 1998 Dec 19-26;317(7174):1713. doi: 10.1136/bmj.317.7174.1713.","Williams RE","BMJ","1998","1998/12/19","PMC1114494","","10.1136/bmj.317.7174.1713"
"9857138","Apgar scores for dads","Bennett HJ.","BMJ. 1998 Dec 19-26;317(7174):1712. doi: 10.1136/bmj.317.7174.1712.","Bennett HJ","BMJ","1998","1998/12/19","PMC1114493","","10.1136/bmj.317.7174.1712"
"9857137","Only if she has a fishing rod!","Towey R, Kimaro E.","BMJ. 1998 Dec 19-26;317(7174):1711. doi: 10.1136/bmj.317.7174.1711.","Towey R","BMJ","1998","1998/12/19","PMC1114492","","10.1136/bmj.317.7174.1711"
"9857136","An international work exchange: better than a midlife crisis","Bridge DT, Gilbert J.","BMJ. 1998 Dec 19-26;317(7174):1709-10. doi: 10.1136/bmj.317.7174.1709.","Bridge DT","BMJ","1998","1998/12/19","PMC1114491","","10.1136/bmj.317.7174.1709"
"9857135","Neurogenetic determinism and the new euphenics","Rose SP.","BMJ. 1998 Dec 19-26;317(7174):1707-8. doi: 10.1136/bmj.317.7174.1707.","Rose SP","BMJ","1998","1998/12/19","PMC1114488","","10.1136/bmj.317.7174.1707"
"9857134","The brain, circadian rhythms, and clock genes","Hastings M.","BMJ. 1998 Dec 19-26;317(7174):1704-7. doi: 10.1136/bmj.317.7174.1704.","Hastings M","BMJ","1998","1998/12/19","PMC1114487","","10.1136/bmj.317.7174.1704"
"9857133","Differences in mental abilities","Deary IJ.","BMJ. 1998 Dec 19-26;317(7174):1701-3. doi: 10.1136/bmj.317.7174.1701.","Deary IJ","BMJ","1998","1998/12/19","PMC1114486","","10.1136/bmj.317.7174.1701"
