PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"4635028","Technic of lumbar puncture","Vandam LD.","N Engl J Med. 1972 Dec 28;287(26):1358. doi: 10.1056/NEJM197212282872621.","Vandam LD","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872621"
"4636903","Verbal blemishes and copy editors","","N Engl J Med. 1972 Dec 21;287(25):1304-5. doi: 10.1056/nejm197212212872518.","","N Engl J Med","1972","1972/12/21","","","10.1056/nejm197212212872518"
"4636902","Genetic counseling: a counselor's view","Herzberg V.","N Engl J Med. 1972 Dec 21;287(25):1304. doi: 10.1056/NEJM197212212872517.","Herzberg V","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872517"
"4636901","Serum urate levels","Fries JF.","N Engl J Med. 1972 Dec 21;287(25):1303-4. doi: 10.1056/NEJM197212212872516.","Fries JF","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872516"
"4636900","Metabolic responses to levodopa","","N Engl J Med. 1972 Dec 21;287(25):1302-3. doi: 10.1056/nejm197212212872515.","","N Engl J Med","1972","1972/12/21","","","10.1056/nejm197212212872515"
"4636899","Colchicine for familial Mediterranean fever","Goldfinger SE.","N Engl J Med. 1972 Dec 21;287(25):1302. doi: 10.1056/NEJM197212212872514.","Goldfinger SE","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872514"
"4636898","The community-medicine specialist--Britain mandates health service reorganization","Silver GA.","N Engl J Med. 1972 Dec 21;287(25):1299-301. doi: 10.1056/NEJM197212212872511.","Silver GA","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872511"
"4636897","Treatment of Bell's palsy","Rowland LP.","N Engl J Med. 1972 Dec 21;287(25):1298-9. doi: 10.1056/NEJM197212212872510.","Rowland LP","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872510"
"4636896","Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 51-1972","","N Engl J Med. 1972 Dec 21;287(25):1291-7. doi: 10.1056/NEJM197212212872509.","","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872509"
"4636895","Primary biliary cirrhosis or sarcoidosis--or both","Stanley NN, Fox RA, Whimster WF, Sherlock S, James DG.","N Engl J Med. 1972 Dec 21;287(25):1282-4. doi: 10.1056/NEJM197212212872507.","Stanley NN","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872507"
"4636894","Neonatal onset of the hepatitis-associated-antigen carrier state","Merrill DA, Dubois RS, Kohler PF.","N Engl J Med. 1972 Dec 21;287(25):1280-2. doi: 10.1056/NEJM197212212872506.","Merrill DA","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872506"
"4636893","The socioeconomics of heroin dependency","Stimmel B.","N Engl J Med. 1972 Dec 21;287(25):1275-80. doi: 10.1056/NEJM197212212872505.","Stimmel B","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872505"
"4636892","Clear-cell adenocarcinoma of the genital tract in young females. Registry report","Herbst AL, Kurman RJ, Scully RE, Poskanzer DC.","N Engl J Med. 1972 Dec 21;287(25):1259-64. doi: 10.1056/NEJM197212212872501.","Herbst AL","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872501"
"4508573","An acute-leukemia antigen: correlation with clinical status","Halterman RH, Leventhal BG, Mann DL.","N Engl J Med. 1972 Dec 21;287(25):1272-4. doi: 10.1056/NEJM197212212872504.","Halterman RH","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872504"
"4344326","Prednisone treatment for idiopathic facial paralysis (Bell's palsy)","Adour KK, Wingerd J, Bell DN, Manning JJ, Hurley JP.","N Engl J Med. 1972 Dec 21;287(25):1268-72. doi: 10.1056/NEJM197212212872503.","Adour KK","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872503"
"4119318","Recent studies on the mechanism of action of testosterone","Wilson JD.","N Engl J Med. 1972 Dec 21;287(25):1284-91. doi: 10.1056/NEJM197212212872508.","Wilson JD","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872508"
"4117996","Liver disease in adults with alpha-1 -antitrypsin deficiency","Berg NO, Eriksson S.","N Engl J Med. 1972 Dec 21;287(25):1264-7. doi: 10.1056/NEJM197212212872502.","Berg NO","N Engl J Med","1972","1972/12/21","","","10.1056/NEJM197212212872502"
"5084994","Last days of PMI?","","N Engl J Med. 1972 Dec 14;287(24):1253. doi: 10.1056/nejm197212142872419.","","N Engl J Med","1972","1972/12/14","","","10.1056/nejm197212142872419"
"5084993","Anesthesiologists, Why?","Reimer DR.","N Engl J Med. 1972 Dec 14;287(24):1253. doi: 10.1056/NEJM197212142872418.","Reimer DR","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872418"
"5084992","Fluorides for multiple myeloma","Gardner FH.","N Engl J Med. 1972 Dec 14;287(24):1252-3. doi: 10.1056/nejm197212142872417.","Gardner FH","N Engl J Med","1972","1972/12/14","","","10.1056/nejm197212142872417"
"5084991","Amphetamine endocarditis","Wickramasekaran R, Banks T.","N Engl J Med. 1972 Dec 14;287(24):1251-2.","Wickramasekaran R","N Engl J Med","1972","1972/12/14","","",""
"5084990","Street kids","","N Engl J Med. 1972 Dec 14;287(24):1250. doi: 10.1056/NEJM197212142872413.","","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872413"
"5084989","Notes of a biology-watcher. Information","Thomas L.","N Engl J Med. 1972 Dec 14;287(24):1238-9. doi: 10.1056/NEJM197212142872408.","Thomas L","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872408"
"5084988","Noise in the operating room","Shapiro RA, Berland T.","N Engl J Med. 1972 Dec 14;287(24):1236-8. doi: 10.1056/NEJM197212142872407.","Shapiro RA","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872407"
"5084987","Technology and health care","White KL, Murnaghan JH, Gaus CR.","N Engl J Med. 1972 Dec 14;287(24):1223-7. doi: 10.1056/NEJM197212142872404.","White KL","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872404"
"5084986","Prolapse of both mitral and tricuspid leaflets in systolic murmur-click syndrome","Gooch AS, Maranhäo V, Scampardonis G, Cha SD, Yang SS.","N Engl J Med. 1972 Dec 14;287(24):1218-22. doi: 10.1056/NEJM197212142872403.","Gooch AS","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872403"
"5084985","Propranolol inhibition of renin secretion. A specific approach to diagnosis and treatment of renin-dependent hypertensive diseases","Bühler FR, Laragh JH, Baer L, Vaughan ED Jr, Brunner HR.","N Engl J Med. 1972 Dec 14;287(24):1209-14. doi: 10.1056/NEJM197212142872401.","Bühler FR","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872401"
"4678170","Cell-mediated immunity in Graves's disease?","Werner SC, Fierer JA.","N Engl J Med. 1972 Dec 14;287(24):1251. doi: 10.1056/NEJM197212142872415.","Werner SC","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872415"
"4563682","Treatment of oxaluric renal failure","Mahony JF, Storey BG, McCarthy SW, Stewart JH.","N Engl J Med. 1972 Dec 14;287(24):1252. doi: 10.1056/NEJM197212142872416.","Mahony JF","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872416"
"4563681","Henry J. Bakst, M.D","","N Engl J Med. 1972 Dec 14;287(24):1249-50. doi: 10.1056/NEJM197212142872412.","","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872412"
"4563680","Enzyme transplantation in Fabry's disease","Krivit W, Desnick RJ, Bernlohr RW, Wold F, Najarian JS, Simmons RL.","N Engl J Med. 1972 Dec 14;287(24):1248-9. doi: 10.1056/NEJM197212142872411.","Krivit W","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872411"
"4563679","Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 50-1972","","N Engl J Med. 1972 Dec 14;287(24):1240-6. doi: 10.1056/NEJM197212142872409.","","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872409"
"4563678","Pancreatic abscesses","Warshaw AL.","N Engl J Med. 1972 Dec 14;287(24):1234-6. doi: 10.1056/NEJM197212142872406.","Warshaw AL","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872406"
"4563677","Enzyme replacement therapy by renal allotransplantation in Fabry's disease","Clarke JT, Guttmann RD, Wolfe LS, Beaudoin JG, Morehouse DD.","N Engl J Med. 1972 Dec 14;287(24):1215-8. doi: 10.1056/NEJM197212142872402.","Clarke JT","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872402"
"4404400","Mechanism of beta-blockade hypotension","Frohlich ED.","N Engl J Med. 1972 Dec 14;287(24):1247-8. doi: 10.1056/NEJM197212142872410.","Frohlich ED","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872410"
"4344655","Surgery of the hand. 2","Chase RA.","N Engl J Med. 1972 Dec 14;287(24):1227-34. doi: 10.1056/NEJM197212142872405.","Chase RA","N Engl J Med","1972","1972/12/14","","","10.1056/NEJM197212142872405"
"5082228","Care of maternal health","Wright RD.","N Engl J Med. 1972 Dec 7;287(23):1205. doi: 10.1056/nejm197212072872320.","Wright RD","N Engl J Med","1972","1972/12/07","","","10.1056/nejm197212072872320"
"5082227","Glass particles in intravenous injections","Turco S, Davis NM.","N Engl J Med. 1972 Dec 7;287(23):1204-5. doi: 10.1056/nejm197212072872319.","Turco S","N Engl J Med","1972","1972/12/07","","","10.1056/nejm197212072872319"
"5082226","Reactions to rabies","Hattwick MA.","N Engl J Med. 1972 Dec 7;287(23):1204. doi: 10.1056/nejm197212072872318.","Hattwick MA","N Engl J Med","1972","1972/12/07","","","10.1056/nejm197212072872318"
"5082225","Clinical rubella after reinfection","Haukenes G, Haram KO.","N Engl J Med. 1972 Dec 7;287(23):1204. doi: 10.1056/NEJM197212072872317.","Haukenes G","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872317"
"5082224","Venous thromboembolism","","N Engl J Med. 1972 Dec 7;287(23):1200-2. doi: 10.1056/NEJM197212072872313.","","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872313"
"5082223","Disseminated lupus erythematosus","Jewett JF.","N Engl J Med. 1972 Dec 7;287(23):1199-200. doi: 10.1056/NEJM197212072872312.","Jewett JF","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872312"
"5082222","Newer methods for evaluating thyroid nodules","Rosenberg IN.","N Engl J Med. 1972 Dec 7;287(23):1197-8. doi: 10.1056/NEJM197212072872310.","Rosenberg IN","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872310"
"5082221","Pulmonic stenosis--indications for surgery in children and adults","Nadas AS.","N Engl J Med. 1972 Dec 7;287(23):1196-7. doi: 10.1056/NEJM197212072872309.","Nadas AS","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872309"
"5082220","Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 49-1972","","N Engl J Med. 1972 Dec 7;287(23):1192-5. doi: 10.1056/NEJM197212072872308.","","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872308"
"5082219","Competency of the mentally retarded to stand trial: new rules from the Supreme Court","Curran WJ.","N Engl J Med. 1972 Dec 7;287(23):1184-5. doi: 10.1056/NEJM197212072872306.","Curran WJ","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872306"
"5082218","Lymphocyte response to blood transfusion in man","Schechter GP, Soehnlen F, McFarland W.","N Engl J Med. 1972 Dec 7;287(23):1169-73. doi: 10.1056/NEJM197212072872303.","Schechter GP","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872303"
"5082217","Pulmonic stenosis in the adult. Long-term follow-up results","Johnson LW, Grossman W, Dalen JE, Dexter L.","N Engl J Med. 1972 Dec 7;287(23):1159-63. doi: 10.1056/NEJM197212072872301.","Johnson LW","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872301"
"4678075","Clinical applications of thyroid echography","Blum M, Goldman AB, Herskovic A, Hernberg J.","N Engl J Med. 1972 Dec 7;287(23):1164-9. doi: 10.1056/NEJM197212072872302.","Blum M","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872302"
"4628278","Haves and have-nots in the world of disease","Ingelfinger FJ.","N Engl J Med. 1972 Dec 7;287(23):1198-9. doi: 10.1056/NEJM197212072872311.","Ingelfinger FJ","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872311"
"4563086","Robert S. Schwab Laboratory","Young RR.","N Engl J Med. 1972 Dec 7;287(23):1205. doi: 10.1056/NEJM197212072872321.","Young RR","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872321"
"4563085","H. influenzae meningitis: therapeutic trials","Rush D.","N Engl J Med. 1972 Dec 7;287(23):1202-3.","Rush D","N Engl J Med","1972","1972/12/07","","",""
"4563084","Caloric homeostasis and disorders of fuel transport","Havel RJ.","N Engl J Med. 1972 Dec 7;287(23):1186-92. doi: 10.1056/NEJM197212072872307.","Havel RJ","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872307"
"4563083","Surgery of the hand. 1","Chase RA.","N Engl J Med. 1972 Dec 7;287(23):1174-81. doi: 10.1056/NEJM197212072872304.","Chase RA","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872304"
"4538825","H. influenzae meningitis: associated ventriculitis","Salmon JH.","N Engl J Med. 1972 Dec 7;287(23):1203-4. doi: 10.1056/NEJM197212072872316.","Salmon JH","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872316"
"4538824","H. influenzae meningitis: role of lumbar puncture","Snyder RD, Cushing AH.","N Engl J Med. 1972 Dec 7;287(23):1202. doi: 10.1056/NEJM197212072872315.","Snyder RD","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872315"
"4404241","Hypnotic drugs","Lasagna L.","N Engl J Med. 1972 Dec 7;287(23):1182-4. doi: 10.1056/NEJM197212072872305.","Lasagna L","N Engl J Med","1972","1972/12/07","","","10.1056/NEJM197212072872305"
"5082216","Interspersed ads","Cady B.","N Engl J Med. 1972 Nov 30;287(22):1155-6.","Cady B","N Engl J Med","1972","1972/11/30","","",""
"5082215","Who should be medical director of a nursing home?","Vash G.","N Engl J Med. 1972 Nov 30;287(22):1155. doi: 10.1056/nejm197211302872233.","Vash G","N Engl J Med","1972","1972/11/30","","","10.1056/nejm197211302872233"
"5082214","Limitations to community control","Jonas S.","N Engl J Med. 1972 Nov 30;287(22):1155.","Jonas S","N Engl J Med","1972","1972/11/30","","",""
"5082213","The condom","Periman P, Greene M.","N Engl J Med. 1972 Nov 30;287(22):1155.","Periman P","N Engl J Med","1972","1972/11/30","","",""
"5082212","Drugs and drug culture in Sweden","Perman E.","N Engl J Med. 1972 Nov 30;287(22):1154-5.","Perman E","N Engl J Med","1972","1972/11/30","","",""
"5082211","The D.C. heroin epidemic: progress report","DuPont RL.","N Engl J Med. 1972 Nov 30;287(22):1154. doi: 10.1056/nejm197211302872228.","DuPont RL","N Engl J Med","1972","1972/11/30","","","10.1056/nejm197211302872228"
"5082210","Objections to methadone regulation","Lowinger P.","N Engl J Med. 1972 Nov 30;287(22):1154. doi: 10.1056/NEJM197211302872230.","Lowinger P","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872230"
"5082209","Smoking and warfarin dosage","Mitchell AA.","N Engl J Med. 1972 Nov 30;287(22):1153-4.","Mitchell AA","N Engl J Med","1972","1972/11/30","","",""
"5082208","Imported malaria in marine corps personnel","Wenzel RP, Stotka VL.","N Engl J Med. 1972 Nov 30;287(22):1153. doi: 10.1056/NEJM197211302872226.","Wenzel RP","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872226"
"5082207","Problems of the face mask","Libman RH.","N Engl J Med. 1972 Nov 30;287(22):1152.","Libman RH","N Engl J Med","1972","1972/11/30","","",""
"5082206","Metabolism of vitamin D","Camargo CA.","N Engl J Med. 1972 Nov 30;287(22):1152. doi: 10.1056/nejm197211302872222.","Camargo CA","N Engl J Med","1972","1972/11/30","","","10.1056/nejm197211302872222"
"5082205","Rectal immunoglobulin synthesis in ulcerative colitis","Aiuti F, Garofalo JA.","N Engl J Med. 1972 Nov 30;287(22):1151.","Aiuti F","N Engl J Med","1972","1972/11/30","","",""
"5082204","Hyperkalemia and renin production","Flamenbaum W, Kotchen TA.","N Engl J Med. 1972 Nov 30;287(22):1151. doi: 10.1056/NEJM197211302872221.","Flamenbaum W","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872221"
"5082203","Possible pulmonary effects of alkylating agents","Rubio FA Jr.","N Engl J Med. 1972 Nov 30;287(22):1150-1. doi: 10.1056/nejm197211302872219.","Rubio FA Jr","N Engl J Med","1972","1972/11/30","","","10.1056/nejm197211302872219"
"5082202","Nitroblue tetrazolium test in systemic lupus","Wenger ME, Bole GG.","N Engl J Med. 1972 Nov 30;287(22):1150. doi: 10.1056/nejm197211302872218.","Wenger ME","N Engl J Med","1972","1972/11/30","","","10.1056/nejm197211302872218"
"5082201","Chemotherapy of breast cancer","Greenspan EM.","N Engl J Med. 1972 Nov 30;287(22):1150. doi: 10.1056/NEJM197211302872217.","Greenspan EM","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872217"
"5082200","Cancer as a sequel to therapy","Heath CW Jr.","N Engl J Med. 1972 Nov 30;287(22):1147-8. doi: 10.1056/NEJM197211302872214.","Heath CW Jr","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872214"
"5082199","The invisible pollution","Rall DP.","N Engl J Med. 1972 Nov 30;287(22):1146-7. doi: 10.1056/NEJM197211302872213.","Rall DP","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872213"
"5082198","Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 48-1972","","N Engl J Med. 1972 Nov 30;287(22):1138-45. doi: 10.1056/NEJM197211302872212.","","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872212"
"5082197","The doctor's role in a permissive society--in conflict with the G.M.C.--the tatoo sign","Lister J.","N Engl J Med. 1972 Nov 30;287(22):1136-7. doi: 10.1056/NEJM197211302872211.","Lister J","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872211"
"5082196","Intractable ventricular fibrillation associated with profound accidental hypothermia--successful treatment with partial cardiopulmonary bypass","Towne WD, Geiss WP, Yanes HO, Rahimtoola SH.","N Engl J Med. 1972 Nov 30;287(22):1135-6. doi: 10.1056/NEJM197211302872210.","Towne WD","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872210"
"5082195","Histoplasmosis presenting as acute polyarthritis","Class RN, Cascio FS.","N Engl J Med. 1972 Nov 30;287(22):1133-4. doi: 10.1056/NEJM197211302872208.","Class RN","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872208"
"5082194","Intra-arterial injections of oral medications. A complication of drug addiction","Lindell TD, Porter JM, Langston C.","N Engl J Med. 1972 Nov 30;287(22):1132-3. doi: 10.1056/NEJM197211302872207.","Lindell TD","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872207"
"5082193","Tonsillectomy history in Hodgkin's disease","Johnson SK, Johnson RE.","N Engl J Med. 1972 Nov 30;287(22):1122-5. doi: 10.1056/NEJM197211302872205.","Johnson SK","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872205"
"5082192","Nonlymphomatous malignant tumors complicating Hodgkin's disease. Possible association with intensive therapy","Arseneau JC, Sponzo RW, Levin DL, Schnipper LE, Bonner H, Young RC, Canellos GP, Johnson RE, DeVita VT.","N Engl J Med. 1972 Nov 30;287(22):1119-22. doi: 10.1056/NEJM197211302872204.","Arseneau JC","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872204"
"5082191","Migration of a phthalate ester plasticizer from polyvinyl chloride blood bags into stored human blood and its localization in human tissues","Jaeger RJ, Rubin RJ.","N Engl J Med. 1972 Nov 30;287(22):1114-8. doi: 10.1056/NEJM197211302872203.","Jaeger RJ","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872203"
"5082190","Measurement of renal function without urine collection. A critical evaluation of the constant-infusion technic for determination of inulin and para-aminohippurate","Cole BR, Giangiacomo J, Ingelfinger JR, Robson AM.","N Engl J Med. 1972 Nov 30;287(22):1109-14. doi: 10.1056/NEJM197211302872202.","Cole BR","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872202"
"5082189","Platelet function in recipients of platelets from donors ingesting aspirin","Stuart MJ, Murphy S, Oski FA, Evans AE, Donaldson MH, Gardner FH.","N Engl J Med. 1972 Nov 30;287(22):1105-9. doi: 10.1056/NEJM197211302872201.","Stuart MJ","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872201"
"4678074","Particles in intravenous fluids","Mead WB.","N Engl J Med. 1972 Nov 30;287(22):1152. doi: 10.1056/NEJM197211302872223.","Mead WB","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872223"
"4563082","Politicalization of the cellular estate","Gardner LI.","N Engl J Med. 1972 Nov 30;287(22):1156. doi: 10.1056/NEJM197211302872238.","Gardner LI","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872238"
"4507725","Morphologic discordance in acute leukemia","Ragab AH, Crist WM.","N Engl J Med. 1972 Nov 30;287(22):1134-5. doi: 10.1056/NEJM197211302872209.","Ragab AH","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872209"
"4343178","R & D in health care","Ingelfinger FJ.","N Engl J Med. 1972 Nov 30;287(22):1148. doi: 10.1056/NEJM197211302872215.","Ingelfinger FJ","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872215"
"4343177","Research and development in quality assurance. The experimental medical care review organization program","Sanazaro PJ, Goldstein RL, Roberts JS, Maglott DB, McAllister JW.","N Engl J Med. 1972 Nov 30;287(22):1125-31. doi: 10.1056/NEJM197211302872206.","Sanazaro PJ","N Engl J Med","1972","1972/11/30","","","10.1056/NEJM197211302872206"
"5079147","Nasogastric with nasotracheal tube","Deane RS, Morgan JG, Shinozaki T.","N Engl J Med. 1972 Nov 23;287(21):1103. doi: 10.1056/nejm197211232872132.","Deane RS","N Engl J Med","1972","1972/11/23","","","10.1056/nejm197211232872132"
"5079146","Bladder carcinoma and xenylamine","Melick WF.","N Engl J Med. 1972 Nov 23;287(21):1103. doi: 10.1056/nejm197211232872130.","Melick WF","N Engl J Med","1972","1972/11/23","","","10.1056/nejm197211232872130"
"5079145","Magnesium in cardiac arrhythmia","Chadda KD, Gupta PK, Lichtenstein E.","N Engl J Med. 1972 Nov 23;287(21):1102. doi: 10.1056/nejm197211232872127.","Chadda KD","N Engl J Med","1972","1972/11/23","","","10.1056/nejm197211232872127"
"5079144","Heparin therapy","Gieske JC.","N Engl J Med. 1972 Nov 23;287(21):1102.","Gieske JC","N Engl J Med","1972","1972/11/23","","",""
